lineid,car,time,location,longitude,latitude,cityid,cityname
242029,KEG-2065,"2026/04/06 17:42:25",新北市新莊區復興路一段125號,121.449708333333,25.04313,6500500,新莊區
242027,613-BX,"2026/04/06 17:42:29",新北市新莊區福壽街126-5號,121.457868333333,25.0512033333333,6500500,新莊區
242034,497-BY,"2026/04/06 17:42:24",新北市新莊區新莊路540號,121.445228333333,25.0329033333333,6500500,新莊區
242056,442-UM,"2026/04/06 17:42:37",新北市新莊區瓊林路38巷2號,121.44801,25.030595,6500500,新莊區
242017,KEV-0021,"2026/04/06 17:42:22",新北市新莊區復興路一段145號,121.450366666667,25.0433283333333,6500500,新莊區
242042,KEV-0020,"2026/04/06 17:42:38",新北市新莊區中正路614巷6弄4號,121.425631666667,25.030825,6500500,新莊區
242009,KEQ-0210,"2026/04/06 17:42:28",新北市新莊區昌明街14巷22號,121.457433333333,25.0536133333333,6500500,新莊區
242021,KEU-3295,"2026/04/06 17:42:29",新北市新莊區中華路一段120號,121.452423333333,25.040625,6500500,新莊區
242023,362-BY,"2026/04/06 17:42:41",新北市新莊區福樂街16號,121.457905,25.044975,6500500,新莊區
242025,353-BY,"2026/04/06 17:42:35",新北市新莊區思源路292號,121.460148333333,25.05035,6500500,新莊區
242046,KEV-8752,"2026/04/06 17:42:39",新北市新莊區福營路125巷17號,121.433676666667,25.03099,6500500,新莊區
242044,KEE-1025,"2026/04/06 17:42:32",新北市新莊區中正路871巷9弄4號,121.41885,25.02682,6500500,新莊區
242039,135-UY,"2026/04/06 17:42:18",新北市新莊區民安路206號,121.425848333333,25.023095,6500500,新莊區
242050,172-VK,"2026/04/06 17:42:40",新北市新莊區西盛街243號,121.428115,25.0161083333333,6500500,新莊區
242036,KEV-8737,"2026/04/06 17:42:28",新北市新莊區後港一路87號,121.427646666667,25.0268083333333,6500500,新莊區
242011,KEU-6109,"2026/04/06 17:42:27",新北市新莊區中港路618-6號,121.451116666667,25.0546333333333,6500500,新莊區
242048,KEU-6130,"2026/04/06 17:42:38",新北市新莊區萬安街111號,121.420786666667,25.02281,6500500,新莊區
242007,KEG-2909,"2026/04/06 17:42:32",新北市新莊區福樂街120號,121.457126666667,25.0478466666667,6500500,新莊區
242001,KES-7321,"2026/04/06 17:42:33",新北市新莊區景德路192號,121.450001666667,25.0341416666667,6500500,新莊區
242004,KEJ-6385,"2026/04/06 17:42:33",新北市新莊區自立街216號,121.45716,25.0454066666667,6500500,新莊區
238015,755-BX,"2026/04/06 17:42:34",新北市樹林區長壽街70巷1弄7號,121.421338333333,24.994405,6500700,樹林區
238023,601-UM,"2026/04/06 17:42:20",新北市樹林區龍興街13巷13號,121.403538333333,25.016555,6500700,樹林區
238019,599-UM,"2026/04/06 17:42:38",新北市樹林區太平路123號,121.419256666667,24.980685,6500700,樹林區
238025,KEL-5001,"2026/04/06 17:42:40",新北市樹林區三俊街7號,121.411216666667,25.015445,6500700,樹林區
238018,KEA-2217,"2026/04/06 17:42:24",新北市樹林區博愛街8號,121.427738333333,24.9930883333333,6500700,樹林區
238022,KEA-2213,"2026/04/06 17:42:32",新北市樹林區中華路68號,121.420113333333,24.9817333333333,6500700,樹林區
238021,KEA-2539,"2026/04/06 17:42:38",新北市樹林區柑園街一段68號,121.402346666667,24.9603033333333,6500700,樹林區
238017,283-BY,"2026/04/06 17:42:36",新北市樹林區三德街3號,121.41289,25.012915,6500700,樹林區
